ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
27924274,within an hour,1,0.98,FALSE,True ,True ,5,Las Condes,-33.4115,-70.56856,Private room,4,2,2,3,100381.00,1,1124,332,17,14,4.82,5,4.94,5,4.94,4.88,4.76,True ,3,1.05
27951755,within an hour,1,0.96,FALSE,True ,True ,8,Santiago,-33.4366,-70.63779,Entire home/apt,3,1,1,1,92712.00,1,1125,345,24,7,4.58,4.67,4.63,4.71,4.67,4.46,4.38,True ,8,0.53
28957542,within an hour,1,1,FALSE,True ,True ,1,Santiago,-33.44755,-70.65274,Entire home/apt,2,1,1,1,35000.00,1,1125,360,74,17,4.66,4.8,4.64,4.82,4.88,4.93,4.65,True ,1,1.63
27952421,within an hour,1,0.99,True ,True ,True ,7,Providencia,-33.41785,-70.61385,Entire home/apt,3,1,2,2,83651.00,2,90,179,37,14,4.92,4.97,4.92,5,5,4.92,4.86,True ,7,0.83
29081521,Unknown,NaN,1,FALSE,True ,True ,2,Santiago,-33.43696,-70.65667,Entire home/apt,2,1,1,1,26416.00,2,1125,1,13,0,5,5,4.85,5,5,5,4.85,True ,2,0.29
29096065,Unknown,NaN,NaN,FALSE,True ,True ,1,Providencia,-33.42949,-70.61435,Private room,1,1,1,1,13500.00,5,1125,172,1,0,0,,,,,,,True ,1,0.02
29100643,within a few hours,1,0.95,FALSE,True ,True ,2,Las Condes,-33.40564,-70.58409,Entire home/apt,7,2,3,5,129439.00,10,1125,255,46,1,4.8,4.96,4.72,4.96,4.96,4.96,4.78,False ,1,1.03
28957935,within an hour,1,1,FALSE,True ,False ,1,Las Condes,-33.42014,-70.54467,Private room,3,1,2,3,23400.00,1,1125,179,1,1,1,1,1,1,1,1,1,True ,1,0.43
28961981,within an hour,1,0.94,FALSE,True ,True ,1,Santiago,-33.43902,-70.63516,Entire home/apt,4,2,3,3,59000.00,2,1125,136,78,27,4.54,4.54,3.85,4.85,4.87,4.82,4.62,True ,1,1.77
29101446,within a day,0.8,0.45,FALSE,True ,True ,6,San Joaquín,-33.47664,-70.62457,Private room,2,1,2,2,9000.00,7,1125,326,7,1,4.29,4.29,3.57,4.57,4.43,4.71,4.43,True ,6,0.16
29102681,within a few hours,1,0.94,True ,True ,True ,6,Las Condes,-33.38799,-70.53347,Entire home/apt,2,1,1,2,40000.00,2,1125,0,8,0,5,5,5,4.88,4.88,5,4.88,False ,2,0.19
27953497,within an hour,1,0.96,FALSE,True ,True ,8,Santiago,-33.4387,-70.63757,Entire home/apt,2,1,1,1,83651.00,1,1125,324,35,13,4.8,4.94,4.74,4.89,4.94,4.91,4.6,True ,8,0.8
28962305,within an hour,1,1,True ,True ,True ,2,Las Condes,-33.41018,-70.57052,Entire home/apt,5,2,2,4,97857.00,2,1125,311,10,10,5,5,4.9,5,5,5,4.9,True ,2,1.65
27954468,within an hour,1,0.96,FALSE,True ,True ,8,Santiago,-33.43845,-70.63769,Entire home/apt,2,1,1,1,70443.00,1,1125,341,39,15,4.77,4.87,4.85,4.79,4.77,4.92,4.64,True ,8,0.89
29103366,within a few hours,1,1,FALSE,True ,True ,2,Recoleta,-33.40213,-70.64785,Private room,1,1,1,1,8000.00,30,1125,164,3,2,5,5,4.67,5,5,4.33,4.33,False ,2,0.08
29128657,Unknown,NaN,0,FALSE,True ,False ,2,Recoleta,-33.43201,-70.64305,Private room,1,1.5,1,1,11000.00,1,15,0,9,0,4.78,4.89,4.56,4.89,4.89,5,4.89,False ,2,0.21
29133946,within an hour,1,0.98,FALSE,True ,True ,9,San Miguel,-33.5053,-70.65117,Entire home/apt,3,1,1,1,35000.00,2,1125,354,19,0,4.79,5,4.79,4.68,4.89,4.58,4.74,True ,7,0.42
