,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5035,40638356.0,within an hour,0.94,1.0,True,True,True,0,Ñuñoa,-33.45668,-70.61625,Entire home/apt,2,1.0,1.0,1.0,32000,2.0,15.0,328,65.0,50,4.91,4.98,4.94,4.94,4.98,4.98,4.95,True,1,2.35
5036,39864295.0,within a few hours,1.0,0.76,True,True,False,0,Ñuñoa,-33.45675,-70.61475,Private room,1,1.0,1.0,1.0,17000,3.0,30.0,133,29.0,15,5.0,4.96,4.86,4.96,5.0,5.0,5.0,False,1,0.91
5037,39865507.0,within a day,1.0,0.67,False,True,True,2,Vitacura,-33.39356,-70.59345,Private room,1,1.0,1.0,1.0,60000,1.0,90.0,365,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5038,40363456.0,within an hour,1.0,1.0,False,True,True,7,Recoleta,-33.4328,-70.6448,Private room,2,1.0,1.0,1.0,43643,1.0,30.0,293,3.0,2,3.33,4.0,4.33,3.33,4.67,4.33,3.33,True,7,0.1
5039,40643152.0,within an hour,1.0,1.0,True,True,True,0,Ñuñoa,-33.45048,-70.5868,Private room,1,1.5,1.0,1.0,13000,3.0,20.0,221,3.0,1,4.33,4.0,5.0,5.0,3.67,5.0,5.0,True,3,0.1
5040,39867617.0,within a day,0.86,0.48,False,True,False,0,Santiago,-33.44862,-70.65624,Private room,2,1.0,1.0,1.0,9500,1.0,28.0,159,7.0,7,5.0,5.0,4.71,5.0,5.0,5.0,5.0,False,1,0.81
5041,40649014.0,within a day,0.75,0.0,False,True,False,2,Santiago,-33.45096,-70.64597,Entire home/apt,3,1.0,2.0,2.0,35000,3.0,30.0,0,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0.0
5042,40649205.0,within an hour,1.0,1.0,False,True,True,2,Quinta Normal,-33.42767,-70.68355,Private room,1,1.0,1.0,0.0,25000,1.0,30.0,89,1.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.3
5043,39869039.0,a few days or more,0.0,0.0,False,True,False,0,Maipú,-33.48122,-70.75668,Private room,1,1.5,1.0,0.0,13922,1.0,30.0,179,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5044,39871203.0,within an hour,1.0,0.98,False,True,True,7,San Joaquín,-33.4889,-70.61979,Entire home/apt,5,1.0,2.0,4.0,39990,2.0,31.0,0,21.0,13,4.62,4.81,4.43,4.67,4.86,4.62,4.76,False,7,0.69
