VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1075,12025339,within a few hours,1,0.93,True,True,True,2,Santiago,-33.43708,-70.63693,Entire home/apt,2,2,1,1,33460,3,30,136,107,24,4.85,4.92,4.93,4.98,4.99,4.85,4.82,False,1,1.64
1076,11301014,within a few hours,0.98,0.65,False,True,True,3,Providencia,-33.42606,-70.61174,Entire home/apt,2,3,1,1,50286,2,31,355,46,23,4.96,4.96,4.89,4.93,4.83,5,4.91,False,6,1.22
1077,11301163,within a few hours,0.98,0.65,False,True,True,3,Providencia,-33.42872,-70.61859,Entire home/apt,2,3,1,1,50000,2,30,348,25,16,4.76,4.84,4.76,4.84,4.72,4.92,4.76,False,6,0.73
1083,11334054,Unknown,0,0,False,True,True,1,Santiago,-33.44613,-70.64573,Entire home/apt,2,1,1,1,45000,3,30,356,276,0,4.77,4.85,4.82,4.8,4.81,4.89,4.78,False,1,3.6
1084,12653487,Unknown,0,0,False,True,True,1,Providencia,-33.43467,-70.63544,Entire home/apt,4,1,2,3,88054,5,30,78,128,0,4.7,4.89,4.62,4.89,4.8,4.86,4.74,True,1,1.8
1085,11338851,within a day,0.5,0.17,False,True,False,4,Santiago,-33.44635,-70.63828,Entire home/apt,5,4,2,3,55000,1,30,325,5,0,4,3.75,4,4,4,4.5,4,False,2,0.07
1086,12029325,Unknown,0,0,False,True,False,1,Santiago,-33.44596,-70.64463,Entire home/apt,4,1,1,3,38365,90,180,365,2,0,5,5,5,5,5,5,5,False,1,0.03
1087,12038476,within an hour,0.8,0.88,False,True,True,8,Las Condes,-33.41408,-70.58194,Entire home/apt,2,8,1,1,75224,6,30,360,11,0,4.5,4.56,4.7,4.56,4.56,5,4.67,True,8,0.18
1090,12666087,within an hour,1,0.98,True,True,True,2,Santiago,-33.43692,-70.65783,Entire home/apt,3,2,1,2,37847,1,30,323,283,55,4.92,4.94,4.88,4.95,4.9,4.85,4.91,False,2,3.91
1093,12092942,Unknown,0,0,False,True,False,1,Santiago,-33.44823,-70.65517,Entire home/apt,2,1,1,1,48430,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
