id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,Private room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
45275032,within an hour,1.00,0.83,True,5,True,True,Barra da Tijuca,-23.00556,-43.3406,Entire home/apt,2,1,1,1,$280.00,2,1125,80,6,4,5,4.83,4.67,5,5,5,4.5,False,16,0.29
12132622,unknown,0.00,0.00,False,1,True,False,Recreio dos Bandeirantes,-23.01072,-43.4772,Entire home/apt,10,7,4,4,"$4,800.00",10,30,362,0,0,,,,,,,,False,1,
13109100,unknown,0.00,0.00,False,1,True,False,Recreio dos Bandeirantes,-23.01998,-43.4759,Entire home/apt,4,2.5,2,4,$929.00,15,1125,358,0,0,,,,,,,,False,1,
51765656,within an hour,1.00,0.98,True,0,True,True,Botafogo,-22.95439,-43.17456,Entire home/apt,6,2,2,2,$300.00,2,32,80,11,11,5,5,4.91,4.91,5,5,4.82,False,2,1.16
2301281,within a few hours,1.00,0.67,False,4,True,True,Lagoa,-22.9759,-43.19941,Entire home/apt,5,2,2,2,$450.00,4,120,358,6,2,4.8,4.8,4.6,4.6,4.8,4.8,4.4,False,1,0.07
14204074,unknown,0.00,0.00,False,2,True,False,Laranjeiras,-22.93028,-43.19041,Private room,2,1,1,1,$207.00,15,30,90,0,0,,,,,,,,True,2,
23074798,within a few hours,1.00,0.91,False,5,True,True,Santa Teresa,-22.91482,-43.18211,Entire home/apt,6,2,2,3,$239.00,2,1125,173,18,17,4.83,4.94,4.83,5,5,4.94,4.67,True,2,1.1
15772962,within an hour,1.00,0.60,False,1,True,True,Santa Teresa,-22.91706,-43.18521,Private room,2,1,1,1,$110.00,1,7,90,0,0,,,,,,,,False,1,
16187293,a few days or more,0.00,0.00,False,1,True,True,Barra da Tijuca,-23.00225,-43.35,Entire home/apt,4,1,1,1,$550.00,10,15,362,0,0,,,,,,,,False,1,
21879496,within an hour,1.00,0.50,False,1,True,True,Lagoa,-22.9759,-43.19773,Entire home/apt,4,2,2,2,$488.00,2,1125,364,2,1,4.5,5,5,5,5,5,5,False,2,0.06
42231700,within a few hours,1.00,0.33,False,0,True,False,Santa Teresa,-22.91489,-43.19003,Private room,4,1,2,2,$105.00,3,60,365,2,1,3.5,4,3.5,4,3.5,3.5,3,False,1,0.07
18079348,within an hour,1.00,1.00,False,21,True,True,Botafogo,-22.95483,-43.18653,Shared room,1,1,1,8,$56.00,1,365,179,14,4,4.5,4.43,4.29,4.71,4.71,5,4.93,True,12,0.23
5.70E+17,within an hour,1.00,1.00,True,14,True,True,Leme,-22.96412,-43.1712,Entire home/apt,4,1,1,2,$303.00,3,1125,196,9,9,5,4.78,5,5,5,5,5,True,12,2.41
53623842,within an hour,1.00,1.00,True,9,True,True,Ipanema,-22.98805,-43.1936,Entire home/apt,4,1,1,2,$800.00,2,120,149,3,3,4.33,5,4.33,5,4.67,5,4.33,True,8,0.61
16892407,unknown,0.00,0.00,False,1,True,False,Humaitá,-22.95445,-43.19896,Private room,3,1,1,1,$250.00,2,1125,365,1,0,5,5,5,5,5,5,5,True,1,0.02
46937099,within a few hours,0.88,0.67,False,6,True,True,Humaitá,-22.95889,-43.2035,Entire home/apt,8,5,4,6,"$15,000.00",2,28,365,0,0,,,,,,,,True,2,
6.39E+17,unknown,0.00,0.00,False,1,True,True,Leme,-22.962839,-43.170425,Private room,2,1,1,1,$336.00,1,5,5,0,0,,,,,,,,True,2,
41703195,within an hour,1.00,1.00,False,5,True,True,Ipanema,-22.98422,-43.20893,Entire home/apt,6,2,3,4,$422.00,2,1125,353,28,15,4.75,4.93,4.86,5,4.89,5,4.64,True,6,0.99
53634509,unknown,0.00,1.00,False,0,True,True,Humaitá,-22.95602,-43.19809,Private room,2,1,1,1,$210.00,3,365,87,0,0,,,,,,,,False,1,
