,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19532,6.08e+17,within an hour,1.0,1.0,False,0,True,True,CuauhtÃ©moc,19.437265,-99.135979,Private room,2,1.0,1.0,1.0,363.0,1,60,354,5,5,4.8,4.8,4.8,4.6,4.8,4.8,4.8,True,1,2.46
19538,6.08e+17,within an hour,0.8,1.0,False,0,True,True,Miguel Hidalgo,19.41837,-99.17838,Private room,1,1.0,1.0,1.0,370.0,1,30,51,8,8,4.75,4.63,4.75,4.63,4.88,5.0,4.63,True,1,4.53
19542,6.05e+17,within an hour,0.9,0.86,False,2,True,True,Benito JuÃ¡rez,19.36102,-99.14527,Private room,1,1.0,1.0,1.0,300.0,1,365,365,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,2.5
19543,6.05e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.4281,-99.12885,Private room,2,1.0,1.0,1.0,375.0,3,10,159,3,3,4.67,5.0,4.33,5.0,5.0,4.33,4.67,False,1,1.53
19545,6.05e+17,within a few hours,0.8,1.0,False,2,True,True,CuauhtÃ©moc,19.41349,-99.17697,Private room,1,1.5,1.0,1.0,460.0,30,40,42,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,5,0.0
19549,6.05e+17,within an hour,1.0,0.33,False,0,True,True,CuauhtÃ©moc,19.41345,-99.16397,Private room,1,2.0,1.0,1.0,297.0,10,365,363,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19551,6.05e+17,within an hour,1.0,0.97,False,2,True,True,Iztacalco,19.40559,-99.06401,Private room,2,1.0,1.0,1.0,280.0,1,1125,333,10,10,5.0,5.0,5.0,4.6,5.0,4.6,5.0,True,2,5.66
19555,6.08e+17,within an hour,1.0,0.99,False,2,True,True,Venustiano Carranza,19.449562,-99.105736,Private room,4,1.5,2.0,2.0,600.0,1,7,351,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,4,0.0
19557,6.08e+17,within an hour,1.0,1.0,True,0,True,True,CuauhtÃ©moc,19.45268,-99.14539,Private room,2,1.0,1.0,1.0,299.0,2,180,333,2,2,4.5,4.5,5.0,4.5,5.0,4.0,4.0,False,3,2.0
19565,6.06e+17,within an hour,1.0,1.0,False,0,True,True,CuauhtÃ©moc,19.42103,-99.16402,Private room,1,1.0,1.0,1.0,540.0,1,365,364,1,1,4.0,4.0,5.0,5.0,5.0,4.0,4.0,True,2,0.88
19567,6.06e+17,within an hour,1.0,0.97,False,2,True,True,Iztacalco,19.40612,-99.06431,Private room,2,1.0,1.0,2.0,300.0,1,1125,351,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,2.0
19568,6.08e+17,within an hour,0.8,1.0,False,0,True,True,CuauhtÃ©moc,19.43119,-99.1648,Private room,1,1.0,1.0,1.0,580.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19570,6.08e+17,within an hour,1.0,1.0,False,0,True,False,CoyoacÃ¡n,19.30653,-99.16478,Private room,2,1.0,1.0,1.0,1750.0,2,365,80,2,2,4.5,5.0,5.0,5.0,4.5,5.0,5.0,True,1,0.97
19572,6.06e+17,within an hour,0.96,0.98,False,38,True,False,CuauhtÃ©moc,19.427832,-99.163521,Private room,4,2.0,2.0,2.0,1350.0,1,365,330,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,19,0.0
19573,5.99e+17,within an hour,1.0,0.99,False,2,True,True,Venustiano Carranza,19.449717,-99.105782,Private room,2,1.0,1.0,1.0,270.0,1,365,355,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,4,0.0
19574,6.06e+17,within an hour,1.0,0.99,True,3,True,True,CoyoacÃ¡n,19.35175,-99.16865,Private room,2,1.0,1.0,1.0,450.0,2,365,333,8,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,4.29
19577,5.99e+17,within a few hours,0.8,0.55,False,0,True,True,CuauhtÃ©moc,19.43479,-99.13505,Private room,2,1.0,1.0,1.0,709.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,7,0.0
