id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
48209768,within an hour,1,1,f,17,t,t,Miguel Hidalgo,19.43342,-99.19501,Entire home/apt,2,1,1,1,"$9,000.00",1,1125,180,50,37,4.58,4.66,4.62,4.76,4.78,4.96,4.48,t,17,3.09
48210434,within an hour,1,1,f,4,t,t,Miguel Hidalgo,19.43838,-99.20401,Private room,1,1,1,1,$715.00,1,365,361,5,4,3.8,4.4,4.6,5,4,5,4.2,t,4,0.35
48211068,within an hour,1,1,f,0,t,f,Cuauhtémoc,19.41299,-99.1563,Entire home/apt,2,1,1,1,$800.00,2,1125,317,7,2,4.43,4.71,4.71,4.86,4.57,4.86,4.43,t,1,0.43
48211126,within an hour,1,1,f,2,t,t,Cuauhtémoc,19.40995,-99.17195,Entire home/apt,4,2.5,2,2,"$2,807.00",2,1125,329,4,2,5,5,5,5,5,5,5,f,2,0.25
48272182,within a few hours,1,0.79,f,3,t,t,Benito Juárez,19.39484,-99.17668,Entire home/apt,2,1,,1,$900.00,3,1125,76,12,9,4.58,4.83,4.92,4.92,4.83,4.83,4.5,f,2,0.81
48272247,within an hour,1,0.99,f,11,t,t,Cuauhtémoc,19.42997,-99.14245,Private room,1,1,,1,$413.00,1,31,131,111,84,4.8,4.8,4.77,4.82,4.86,4.83,4.8,f,3,7.03
48211135,within an hour,1,0.93,t,4,t,t,Cuauhtémoc,19.4144,-99.16887,Entire home/apt,10,4.5,6,6,"$9,000.00",2,30,72,30,29,4.9,4.97,4.9,5,4.97,5,4.93,f,1,2.33
48109072,within an hour,1,0.91,t,0,t,t,Venustiano Carranza,19.43317,-99.10237,Entire home/apt,4,1,2,3,$697.00,1,30,28,19,13,4.79,4.84,4.79,4.84,4.63,4.79,4.79,t,1,1.19
48272849,N/A,N/A,N/A,f,1,t,t,Cuauhtémoc,19.42845,-99.15739,Private room,1,1,1,1,$230.00,90,90,89,0,0,,,,,,,,t,1,
48211498,within an hour,1,1,f,4,t,t,Miguel Hidalgo,19.43627,-99.20442,Entire home/apt,4,1,2,2,"$1,475.00",1,365,344,23,13,4.13,4.39,4.7,4.74,4.65,4.91,4.3,t,4,1.63
48273099,within an hour,1,1,t,2,t,t,Cuauhtémoc,19.41903,-99.13632,Entire home/apt,2,1,1,1,$476.00,3,1125,277,44,39,4.91,4.93,4.89,4.93,5,4.8,4.91,f,2,2.84
48212268,within an hour,1,1,t,2,t,t,Cuauhtémoc,19.42302,-99.16107,Entire home/apt,7,2.5,3,3,"$1,670.00",2,365,135,16,10,4.94,5,4.94,5,5,5,4.94,t,1,0.99
48109534,within an hour,1,0.93,f,1,t,f,Álvaro Obregón,19.38221,-99.23554,Entire home/apt,4,2,3,3,$750.00,1,60,202,10,10,4.7,4.8,4.9,4.7,4.6,4.1,4.7,t,1,0.99
48109551,within an hour,1,0.99,t,8,t,t,Cuauhtémoc,19.4259,-99.17514,Entire home/apt,6,2,2,3,"$2,250.00",1,1125,28,48,39,4.96,4.96,5,4.94,5,4.88,4.9,f,8,2.91
48279440,within an hour,1,0.9,f,1,t,t,Miguel Hidalgo,19.44043,-99.1765,Entire home/apt,4,2,2,2,$919.00,4,1125,52,16,16,5,5,5,5,5,4.88,5,f,1,1.38
48109710,within an hour,1,1,f,1,t,t,Azcapotzalco,19.45801,-99.17324,Private room,1,1,2,1,$304.00,3,1125,331,0,0,,,,,,,,t,2,
48109962,within an hour,1,1,f,5,t,t,Cuauhtémoc,19.41046,-99.13818,Private room,2,1,1,,$729.00,1,1125,362,23,12,4.61,4.91,4.91,4.74,4.65,4.7,4.83,t,5,1.39
48212750,within an hour,1,0.98,t,0,t,t,Cuauhtémoc,19.41637,-99.16522,Entire home/apt,2,1,1,1,"$1,385.00",3,60,151,38,30,4.97,5,4.97,4.97,5,4.97,4.95,f,5,2.41
48216280,within a few hours,1,0.11,f,1,t,t,Benito Juárez,19.39357,-99.1625,Entire home/apt,2,1,1,1,$750.00,6,35,252,2,1,4.5,5,5,5,4.5,5,4.5,f,1,0.15
48227980,within an hour,1,0.99,f,46,t,t,Cuauhtémoc,19.42421,-99.16128,Entire home/apt,2,1,1,1,$687.00,3,1125,10,4,1,4.25,4.25,4.5,4.75,4.75,4.75,3.75,t,46,0.25
48280037,within an hour,1,1,t,0,t,t,Miguel Hidalgo,19.4399,-99.20073,Entire home/apt,4,2.5,2,3,"$1,922.00",1,90,311,69,53,4.94,4.97,4.96,4.78,4.86,4.96,4.91,t,44,4.33
48280987,within an hour,1,0.99,t,22,t,t,Benito Juárez,19.39844,-99.17153,Entire home/apt,5,1,2,3,"$1,661.00",2,90,356,38,20,4.89,4.87,4.95,4.87,4.92,4.74,4.63,f,20,2.38
48228474,within an hour,1,1,t,0,t,f,Venustiano Carranza,19.41516,-99.12486,Entire home/apt,2,1,1,1,$333.00,3,1125,236,32,25,4.84,4.84,4.78,4.91,4.88,4.81,4.81,t,2,2
48228693,N/A,N/A,0,f,1,t,t,Benito Juárez,19.40223,-99.16223,Private room,2,1,1,1,$950.00,2,1125,0,0,0,,,,,,,,f,1,
48282013,within a few hours,0.8,0.94,t,5,t,t,Miguel Hidalgo,19.44065,-99.19426,Private room,1,2.5,1,1,$399.00,3,1125,365,2,2,5,5,5,5,5,5,5,f,5,0.17
48229422,within an hour,1,1,t,2,t,t,Álvaro Obregón,19.33507,-99.20683,Entire home/apt,4,1,2,2,$970.00,5,1125,339,58,52,4.83,4.91,4.78,4.9,4.91,4.78,4.81,t,3,3.6
48283959,within an hour,1,0.99,t,37,t,t,Miguel Hidalgo,19.42965,-99.17546,Entire home/apt,4,1,2,2,"$1,270.00",4,1125,42,4,2,4.5,4.75,4.5,4.75,4.75,5,4.25,t,2,0.28
48230075,within a few hours,1,0.61,f,1,t,t,Cuauhtémoc,19.42939,-99.16095,Entire home/apt,3,1,1,2,$707.00,5,30,40,20,16,4.9,4.95,4.8,4.95,4.95,5,4.85,f,1,1.39
48230277,within an hour,1,0.98,f,15,t,t,Cuauhtémoc,19.42236,-99.15925,Private room,2,1.5,1,1,"$1,260.00",1,365,205,25,19,4.84,4.84,4.72,5,4.88,4.92,4.8,t,12,1.56
48110014,within an hour,1,1,f,1,t,t,Cuauhtémoc,19.40753,-99.16191,Entire home/apt,8,2,3,3,"$1,057.00",2,1125,345,44,41,4.57,4.7,4.39,4.89,4.84,4.86,4.57,t,1,2.71
48110703,within an hour,1,0.38,f,0,t,f,Xochimilco,19.27853,-99.12031,Private room,8,0,4,8,"$1,320.00",2,1125,170,0,0,,,,,,,,f,8,
48110892,within an hour,1,0.38,f,0,t,f,Xochimilco,19.27938,-99.11812,Private room,6,2,3,6,"$1,020.00",2,1125,170,0,0,,,,,,,,f,8,
48284323,within an hour,1,1,t,0,t,t,Miguel Hidalgo,19.43952,-99.18216,Entire home/apt,5,2,2,3,"$1,318.00",2,1125,359,12,8,4.83,4.83,5,4.58,4.67,5,4.92,f,2,0.8
48284802,within an hour,1,0.99,t,7,t,t,Miguel Hidalgo,19.43326622,-99.19034022,Entire home/apt,2,1,1,1,"$1,120.00",1,30,94,0,0,,,,,,,,t,4,
48118126,within an hour,1,0.8,f,0,t,f,Miguel Hidalgo,19.42979,-99.19539,Entire home/apt,2,1,1,1,"$2,007.00",2,8,83,5,4,4.8,4.8,4.4,5,4.8,5,4.6,f,1,0.37
48285003,within an hour,0.98,0.98,f,270,t,t,Cuauhtémoc,19.42605,-99.1712,Entire home/apt,2,1.5,1,1,"$7,068.00",1,365,323,1,0,5,5,5,5,5,5,5,t,170,0.07
