,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1974,3280309.0,unknown,0.0,0.0,False,1.0,True,True,Barra da Tijuca,-23.00849,-43.42653,Entire home/apt,4,2.0,2.0,3.0,150,3,1125,202,23,0,4.87,5.0,4.91,4.76,4.86,4.71,4.81,False,1,0.24
1975,21821825.0,within an hour,1.0,0.96,True,4.0,True,True,GlÃ³ria,-22.9168,-43.17691,Entire home/apt,4,1.0,2.0,1.0,150,20,50,86,109,20,4.91,4.93,4.8,4.94,4.85,4.63,4.76,False,4,1.98
1977,8310039.0,unknown,0.0,0.0,False,1.0,True,False,Recreio dos Bandeirantes,-23.02246,-43.4772,Entire home/apt,4,3.0,2.0,4.0,600,10,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1979,29251268.0,within a day,0.5,0.0,False,3.0,True,False,Copacabana,-22.96664,-43.19094,Entire home/apt,8,2.0,3.0,5.0,500,2,130,364,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,3,0.0
1980,24387069.0,within an hour,1.0,1.0,True,2.0,True,False,Copacabana,-22.96656,-43.18723,Entire home/apt,4,1.0,2.0,3.0,180,4,1125,169,25,10,4.92,4.96,5.0,4.92,5.0,4.96,4.72,True,2,0.5
1981,6923853.0,within a day,0.57,0.43,False,6.0,True,False,Copacabana,-22.9635,-43.17922,Entire home/apt,4,1.0,1.0,6.0,150,3,90,168,2,2,4.5,4.0,4.0,5.0,4.5,5.0,5.0,False,7,0.26
1982,5.75e+17,within an hour,1.0,1.0,True,0.0,True,True,Barra da Tijuca,-23.01402,-43.30494,Entire home/apt,5,2.0,2.0,3.0,706,2,1125,146,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,1.55
1983,13714341.0,unknown,0.0,0.0,False,1.0,True,False,JacarepaguÃ¡,-22.97197,-43.41447,Entire home/apt,4,1.0,2.0,4.0,700,4,1125,87,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1984,53025394.0,within a few hours,0.9,0.91,True,0.0,True,False,Botafogo,-22.94764,-43.18847,Entire home/apt,2,1.5,1.0,1.0,850,2,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
1985,6.45e+17,within a few hours,1.0,0.0,False,0.0,True,False,Botafogo,-22.94576244,-43.18255126,Entire home/apt,2,1.0,1.0,1.0,249,1,365,78,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1986,6576432.0,a few days or more,0.38,0.0,False,3.0,True,False,Barra da Tijuca,-23.00719,-43.31962,Entire home/apt,3,2.0,2.0,3.0,690,3,1125,357,7,0,4.83,4.83,4.67,5.0,5.0,5.0,4.5,False,1,0.09
1987,53825360.0,within a few hours,0.75,0.58,False,1.0,True,True,Santa Teresa,-22.92223,-43.18373,Entire home/apt,6,1.0,2.0,3.0,490,1,365,355,4,4,5.0,4.75,4.75,5.0,5.0,4.75,4.75,False,2,0.7
1988,17935826.0,within a day,1.0,0.82,False,5.0,True,True,Catete,-22.92486,-43.18124,Entire home/apt,12,4.0,4.0,13.0,840,4,30,302,10,3,4.8,4.9,4.8,5.0,4.89,4.89,4.78,False,1,0.16
1989,5.98e+17,within an hour,0.95,1.0,False,22.0,True,True,Leme,-22.964411,-43.172832,Entire home/apt,8,2.5,4.0,6.0,364,3,63,356,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,18,0.54
1990,45078465.0,within an hour,1.0,1.0,False,6.0,True,False,Copacabana,-22.96717,-43.17822,Entire home/apt,6,2.0,2.0,6.0,300,2,1125,27,8,5,5.0,5.0,4.88,5.0,5.0,5.0,4.75,True,6,0.37
